%time Wind Power_wind
886 10.8043801 51493.8026653
887 10.8043801 51493.8026653
888 10.8043801 51493.8026653
889 10.8043801 51493.8026653
890 10.8043801 51493.8026653
891 10.8043801 51493.8026653
892 10.8043801 51493.8026653
893 10.8043801 51493.8026653
894 10.8043801 51493.8026653
895 10.8043801 51493.8026653
896 10.8043801 51493.8026653
897 10.8043801 51493.8026653
898 10.8043801 51493.8026653
899 10.8043801 51493.8026653
900 10.8043801 51493.8026653
901 10.8043801 51493.8026653
902 10.8043801 51493.8026653
903 10.8043801 51493.8026653
904 10.8043801 51493.8026653
905 10.8043801 51493.8026653
906 10.8043801 51493.8026653
907 10.8043801 51493.8026653
908 10.8043801 51493.8026653
909 10.8043801 51493.8026653
910 10.8043801 51493.8026653
911 10.8043801 51493.8026653
912 10.8043801 51493.8026653
913 10.8043801 51493.8026653
914 10.8043801 51493.8026653
915 10.8043801 51493.8026653
916 10.8043801 51493.8026653
917 10.8043801 51493.8026653
918 10.8043801 51493.8026653
919 10.8043801 51493.8026653
920 10.8043801 51493.8026653
921 10.8043801 51493.8026653
922 10.8043801 51493.8026653
923 10.8043801 51493.8026653
924 10.8043801 51493.8026653
925 10.8043801 51493.8026653
926 10.8043801 51493.8026653
927 10.8043801 51493.8026653
928 10.8043801 51493.8026653
929 10.8043801 51493.8026653
930 10.8043801 51493.8026653
931 10.8043801 51493.8026653
