Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
1286	4	2808	2998
1286	4	2808	2998
1286	4	2808	2998
1286	4	2808	2998
120	4	2806	2998
120	4	2806	2998
120	2366	2806	2998
120	2366	2806	2998
1050	2366	2806	2998
1050	2366	2806	2998
1284	2366	2818	2998
1284	4	2818	2998
1284	4	2818	2998
1284	4	2818	2998
1284	4	2814	2996
2	4	2814	2996
2	4	2814	2996
2	4	2814	2996
2	2350	2814	2996
1292	2350	3296	38
1292	2350	3296	38
1292	2350	3296	38
1292	2350	3296	38
1292	2350	3296	38
1282	4	2826	38
1282	4	2826	38
1282	4	2826	38
1282	4	2826	1682
1282	1682	2822	1682
2	1682	2822	3014
2	2352	2822	3014
1288	2352	2822	3014
1288	2352	2822	3014
1288	2352	2822	3014
1288	2352	2822	3014
1288	4	2822	3024
2	4	2822	3024
2	4	2822	3024
2	4	2816	3024
876	4	2816	3024
876	4	2816	3024
876	4	2816	3024
1286	4	2816	3024
1286	2378	2816	3024
1286	2378	2816	3018
1286	2378	2816	3018
2	2378	2816	3018
2	2378	2816	3018
328	1556	2816	3018
328	1556	2816	3018
1284	1556	2816	3018
1284	1556	2816	3018
1284	1556	2816	3018
1284	4	2816	3018
1284	4	2816	3016
14	4	2816	3016
14	1402	2816	3016
14	1402	2816	3016
14	2354	2812	3016
1054	2354	2812	3016
1054	2354	2812	3016
1284	2354	2812	3016
1284	2354	2812	3016
1284	4	2798	3016
1284	4	2798	3014
1284	4	2798	3014
2	4	2798	3014
2	4	2798	3014
2	4	2798	3014
744	4	2798	3014
744	2368	2798	3014
1286	2368	2798	3014
1286	2368	2798	3014
1286	2368	2796	3014
1286	2368	2796	3012
1286	4	2796	3012
1284	4	2796	3012
1284	4	2796	3012
1284	800	3284	3012
1284	800	3284	38
1284	800	3284	38
2	2342	3284	38
2	2342	1402	38
2	2342	1402	38
2	2342	2806	38
2	2342	2806	38
2	4	2806	38
2	4	2806	1676
2	4	2806	1676
2	4	2804	3020
2	4	2804	3020
2	4	2804	3020
2	4	2804	3020
2	2360	2804	3020
2	2360	2806	3016
2	2360	2806	3016
2	2360	2806	3016
2	2360	2806	3016
2	4	2806	3016
2	4	2802	3010
2	4	2802	3010
2	4	2802	3010
2	1038	2802	3010
2	1038	2802	3010
2	2342	2802	3006
2	2342	2802	3006
2	2342	2802	3006
2	2342	2802	3006
2	2342	2802	3006
2	4	2814	3008
2	4	2814	3008
2	4	2814	3008
2	4	2814	3008
2	4	2814	3008
2	4	2810	3006
2	4	2810	3006
2	2360	2810	3006
2	2360	2810	3006
2	2360	2810	3006
2	2360	2808	3000
2	2360	2808	3000
2	2332	2808	3000
2	2332	2808	3000
2	2332	2808	3000
2	2332	2808	3000
2	2332	2808	3000
2	4	2808	3000
2	4	2808	3000
2	4	2808	3000
2	4	2808	3000
2	790	2808	3000
2	790	2808	3000
2	2346	2808	3000
2	2346	2808	3000
2	2346	2810	3012
2	2346	2810	3012
2	2346	2810	3012
2	2214	2810	3012
2	2214	2810	3012
2	2214	3292	3012
2	2214	3292	3012
2	2214	3292	3012
2	2214	3292	3012
2	2214	3292	3012
2	4	2824	38
2	4	2824	38
2	308	2824	38
2	308	2824	1628
2	2344	2818	1628
2	2344	2818	3032
2	2344	2818	3032
2	2344	2818	3032
2	2344	2818	3032
2	4	2818	3032
2	4	2818	3028
2	4	2818	3028
2	796	2818	3028
2	796	2818	3028
2	2340	2816	3028
2	2340	2816	3026
2	2340	2816	3026
2	2340	2816	3026
