Regular (W)	PermPress (W)	Delicates (W)
41.3	74.5	7.2
27.8	74.5	7.2
18.3	74.5	7.2
25.6	74.8	7.1
22.5	74.7	7.1
34.4	74.8	7.1
27.8	74.6	7.1
18.4	74.6	7.1
6.9	74.7	7.1
7.8	74.7	7.1
43.9	74.7	7.1
63.3	74.7	7.2
54.3	74.6	7.2
55.6	74.7	7.2
33.4	74.7	7.2
32.1	74.7	12.1
31.5	74.5	12.1
32.7	74.5	12.2
32.7	74.4	12.2
19.3	74.3	12.2
21.7	74.3	12.2
20.5	53.7	12.2
17.9	52.7	12.2
8.8	48.7	100
7.4	47.8	100
23.1	11.5	27.3
23.1	7.5	27.3
53.2	7.5	12.7
50.4	57.6	12.7
